# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: /home/alireza/mywork/mpsoc/perl_gui/lib/boards/DE0_nano/test/test.csv
# Generated on: Mon May 29 17:28:04 2017

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
GPIO_0[11],Unknown,PIN_A6,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[12],Unknown,PIN_B7,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[13],Unknown,PIN_D6,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[14],Unknown,PIN_A7,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[15],Unknown,PIN_C6,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[16],Unknown,PIN_C8,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[17],Unknown,PIN_E6,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[18],Unknown,PIN_E7,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[19],Unknown,PIN_D8,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[20],Unknown,PIN_E8,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[21],Unknown,PIN_F8,8,B8_N0,3.3-V LVTTL,,,,
GPIO_0[22],Unknown,PIN_F9,7,B7_N0,3.3-V LVTTL,,,,
GPIO_0[23],Unknown,PIN_E9,7,B7_N0,3.3-V LVTTL,,,,
GPIO_0[24],Unknown,PIN_C9,7,B7_N0,3.3-V LVTTL,,,,
GPIO_0[25],Unknown,PIN_D9,7,B7_N0,3.3-V LVTTL,,,,
GPIO_0[26],Unknown,PIN_E11,7,B7_N0,3.3-V LVTTL,,,,
GPIO_0[27],Unknown,PIN_E10,7,B7_N0,3.3-V LVTTL,,,,
GPIO_0[28],Unknown,PIN_C11,7,B7_N0,3.3-V LVTTL,,,,
GPIO_0[29],Unknown,PIN_B11,7,B7_N0,3.3-V LVTTL,,,,
GPIO_0[30],Unknown,PIN_A12,7,B7_N0,3.3-V LVTTL,,,,
GPIO_0[31],Unknown,PIN_D11,7,B7_N0,3.3-V LVTTL,,,,
GPIO_0[32],Unknown,PIN_D12,7,B7_N0,3.3-V LVTTL,,,,
GPIO_0[33],Unknown,PIN_B12,7,B7_N0,3.3-V LVTTL,,,,
GPIO_1_IN[0],Unknown,PIN_T9,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[0],Unknown,PIN_F13,6,B6_N0,3.3-V LVTTL,,,,
GPIO_1_IN[1],Unknown,PIN_R9,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[1],Unknown,PIN_T15,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[2],Unknown,PIN_T14,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[3],Unknown,PIN_T13,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[4],Unknown,PIN_R13,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[5],Unknown,PIN_T12,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[6],Unknown,PIN_R12,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[7],Unknown,PIN_T11,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[8],Unknown,PIN_T10,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[9],Unknown,PIN_R11,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[10],Unknown,PIN_P11,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[11],Unknown,PIN_R10,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[12],Unknown,PIN_N12,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[13],Unknown,PIN_P9,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[14],Unknown,PIN_N9,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[15],Unknown,PIN_N11,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[16],Unknown,PIN_L16,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[17],Unknown,PIN_K16,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[18],Unknown,PIN_R16,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[19],Unknown,PIN_L15,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[20],Unknown,PIN_P15,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[21],Unknown,PIN_P16,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[22],Unknown,PIN_R14,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[23],Unknown,PIN_N16,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[24],Unknown,PIN_N15,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[25],Unknown,PIN_P14,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[26],Unknown,PIN_L14,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[27],Unknown,PIN_N14,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[28],Unknown,PIN_M10,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[29],Unknown,PIN_L13,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[30],Unknown,PIN_J16,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[31],Unknown,PIN_K15,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[32],Unknown,PIN_J13,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[33],Unknown,PIN_J14,5,B5_N0,3.3-V LVTTL,,,,

